id,title,description,url
2274,Maximum Consecutive Floors Without Special Floors,"Alice manages a company and has rented some floors of a building as office space. Alice has decided some of these floors should be special floors , used for relaxation only. You are given two integers bottom and top , which denote that Alice has rented all the floors from bottom to top ( inclusive ). You are also given the integer array special , where special[i] denotes a special floor that Alice has designated for relaxation. Return the maximum number of consecutive floors without a special floor . Example 1: Input: bottom = 2, top = 9, special = [4,6] Output: 3 Explanation: The following are the ranges (inclusive) of consecutive floors without a special floor: - (2, 3) with a total amount of 2 floors. - (5, 5) with a total amount of 1 floor. - (7, 9) with a total amount of 3 floors. Therefore, we return the maximum number which is 3 floors. Example 2: Input: bottom = 6, top = 8, special = [7,6,8] Output: 0 Explanation: Every floor rented is a special floor, so we return 0. Constraints: 1 <= special.length <= 10 5 1 <= bottom <= special[i] <= top <= 10 9 All the values of special are unique .",https://leetcode.ca/2022-02-20-2274-Maximum-Consecutive-Floors-Without-Special-Floors
2275,Largest Combination With Bitwise AND Greater Than Zero,"The bitwise AND of an array nums is the bitwise AND of all integers in nums . For example, for nums = [1, 5, 3] , the bitwise AND is equal to 1 & 5 & 3 = 1 . Also, for nums = [7] , the bitwise AND is 7 . You are given an array of positive integers candidates . Evaluate the bitwise AND of every combination of numbers of candidates . Each number in candidates may only be used once in each combination. Return the size of the largest combination of candidates with a bitwise AND greater than 0 . Example 1: Input: candidates = [16,17,71,62,12,24,14] Output: 4 Explanation: The combination [16,17,62,24] has a bitwise AND of 16 & 17 & 62 & 24 = 16 > 0. The size of the combination is 4. It can be shown that no combination with a size greater than 4 has a bitwise AND greater than 0. Note that more than one combination may have the largest size. For example, the combination [62,12,24,14] has a bitwise AND of 62 & 12 & 24 & 14 = 8 > 0. Example 2: Input: candidates = [8,8] Output: 2 Explanation: The largest combination [8,8] has a bitwise AND of 8 & 8 = 8 > 0. The size of the combination is 2, so we return 2. Constraints: 1 <= candidates.length <= 10 5 1 <= candidates[i] <= 10 7",https://leetcode.ca/2022-02-21-2275-Largest-Combination-With-Bitwise-AND-Greater-Than-Zero
2276,Count Integers in Intervals,"Given an empty set of intervals, implement a data structure that can: Add an interval to the set of intervals. Count the number of integers that are present in at least one interval. Implement the CountIntervals class: CountIntervals() Initializes the object with an empty set of intervals. void add(int left, int right) Adds the interval [left, right] to the set of intervals. int count() Returns the number of integers that are present in at least one interval. Note that an interval [left, right] denotes all the integers x where left <= x <= right . Example 1: Input [""CountIntervals"", ""add"", ""add"", ""count"", ""add"", ""count""] [[], [2, 3], [7, 10], [], [5, 8], []] Output [null, null, null, 6, null, 8] Explanation CountIntervals countIntervals = new CountIntervals(); // initialize the object with an empty set of intervals. countIntervals.add(2, 3); // add [2, 3] to the set of intervals. countIntervals.add(7, 10); // add [7, 10] to the set of intervals. countIntervals.count(); // return 6 // the integers 2 and 3 are present in the interval [2, 3]. // the integers 7, 8, 9, and 10 are present in the interval [7, 10]. countIntervals.add(5, 8); // add [5, 8] to the set of intervals. countIntervals.count(); // return 8 // the integers 2 and 3 are present in the interval [2, 3]. // the integers 5 and 6 are present in the interval [5, 8]. // the integers 7 and 8 are present in the intervals [5, 8] and [7, 10]. // the integers 9 and 10 are present in the interval [7, 10]. Constraints: 1 <= left <= right <= 10 9 At most 10 5 calls in total will be made to add and count . At least one call will be made to count .",https://leetcode.ca/2022-02-22-2276-Count-Integers-in-Intervals
2277,Closest Node to Path in Tree,"You are given a positive integer n representing the number of nodes in a tree, numbered from 0 to n - 1 ( inclusive ). You are also given a 2D integer array edges of length n - 1 , where edges[i] = [node1 i , node2 i ] denotes that there is a bidirectional edge connecting node1 i and node2 i in the tree. You are given a 0-indexed integer array query of length m where query[i] = [start i , end i , node i ] means that for the i th query, you are tasked with finding the node on the path from start i to end i that is closest to node i . Return an integer array answer of length m , where answer[i] is the answer to the i th query . Example 1: Input: n = 7, edges = [[0,1],[0,2],[0,3],[1,4],[2,5],[2,6]], query = [[5,3,4],[5,3,6]] Output: [0,2] Explanation: The path from node 5 to node 3 consists of the nodes 5, 2, 0, and 3. The distance between node 4 and node 0 is 2. Node 0 is the node on the path closest to node 4, so the answer to the first query is 0. The distance between node 6 and node 2 is 1. Node 2 is the node on the path closest to node 6, so the answer to the second query is 2. Example 2: Input: n = 3, edges = [[0,1],[1,2]], query = [[0,1,2]] Output: [1] Explanation: The path from node 0 to node 1 consists of the nodes 0, 1. The distance between node 2 and node 1 is 1. Node 1 is the node on the path closest to node 2, so the answer to the first query is 1. Example 3: Input: n = 3, edges = [[0,1],[1,2]], query = [[0,0,0]] Output: [0] Explanation: The path from node 0 to node 0 consists of the node 0. Since 0 is the only node on the path, the answer to the first query is 0. Constraints: 1 <= n <= 1000 edges.length == n - 1 edges[i].length == 2 0 <= node1 i , node2 i <= n - 1 node1 i != node2 i 1 <= query.length <= 1000 query[i].length == 3 0 <= start i , end i , node i <= n - 1 The graph is a tree.",https://leetcode.ca/2022-02-23-2277-Closest-Node-to-Path-in-Tree
2278,Percentage of Letter in String,"Given a string s and a character letter , return the percentage of characters in s that equal letter rounded down to the nearest whole percent. Example 1: Input: s = ""foobar"", letter = ""o"" Output: 33 Explanation: The percentage of characters in s that equal the letter 'o' is 2 / 6 * 100% = 33% when rounded down, so we return 33. Example 2: Input: s = ""jjjj"", letter = ""k"" Output: 0 Explanation: The percentage of characters in s that equal the letter 'k' is 0%, so we return 0. Constraints: 1 <= s.length <= 100 s consists of lowercase English letters. letter is a lowercase English letter.",https://leetcode.ca/2022-02-24-2278-Percentage-of-Letter-in-String
2279,Maximum Bags With Full Capacity of Rocks,"You have n bags numbered from 0 to n - 1 . You are given two 0-indexed integer arrays capacity and rocks . The i th bag can hold a maximum of capacity[i] rocks and currently contains rocks[i] rocks. You are also given an integer additionalRocks , the number of additional rocks you can place in any of the bags. Return the maximum number of bags that could have full capacity after placing the additional rocks in some bags. Example 1: Input: capacity = [2,3,4,5], rocks = [1,2,4,4], additionalRocks = 2 Output: 3 Explanation: Place 1 rock in bag 0 and 1 rock in bag 1. The number of rocks in each bag are now [2,3,4,4]. Bags 0, 1, and 2 have full capacity. There are 3 bags at full capacity, so we return 3. It can be shown that it is not possible to have more than 3 bags at full capacity. Note that there may be other ways of placing the rocks that result in an answer of 3. Example 2: Input: capacity = [10,2,2], rocks = [2,2,0], additionalRocks = 100 Output: 3 Explanation: Place 8 rocks in bag 0 and 2 rocks in bag 2. The number of rocks in each bag are now [10,2,2]. Bags 0, 1, and 2 have full capacity. There are 3 bags at full capacity, so we return 3. It can be shown that it is not possible to have more than 3 bags at full capacity. Note that we did not use all of the additional rocks. Constraints: n == capacity.length == rocks.length 1 <= n <= 5 * 10 4 1 <= capacity[i] <= 10 9 0 <= rocks[i] <= capacity[i] 1 <= additionalRocks <= 10 9",https://leetcode.ca/2022-02-25-2279-Maximum-Bags-With-Full-Capacity-of-Rocks
2280,Minimum Lines to Represent a Line Chart,"You are given a 2D integer array stockPrices where stockPrices[i] = [day i , price i ] indicates the price of the stock on day day i is price i . A line chart is created from the array by plotting the points on an XY plane with the X-axis representing the day and the Y-axis representing the price and connecting adjacent points. One such example is shown below: Return the minimum number of lines needed to represent the line chart . Example 1: Input: stockPrices = [[1,7],[2,6],[3,5],[4,4],[5,4],[6,3],[7,2],[8,1]] Output: 3 Explanation: The diagram above represents the input, with the X-axis representing the day and Y-axis representing the price. The following 3 lines can be drawn to represent the line chart: - Line 1 (in red) from (1,7) to (4,4) passing through (1,7), (2,6), (3,5), and (4,4). - Line 2 (in blue) from (4,4) to (5,4). - Line 3 (in green) from (5,4) to (8,1) passing through (5,4), (6,3), (7,2), and (8,1). It can be shown that it is not possible to represent the line chart using less than 3 lines. Example 2: Input: stockPrices = [[3,4],[1,2],[7,8],[2,3]] Output: 1 Explanation: As shown in the diagram above, the line chart can be represented with a single line. Constraints: 1 <= stockPrices.length <= 10 5 stockPrices[i].length == 2 1 <= day i , price i <= 10 9 All day i are distinct .",https://leetcode.ca/2022-02-26-2280-Minimum-Lines-to-Represent-a-Line-Chart
2281,Sum of Total Strength of Wizards,"As the ruler of a kingdom, you have an army of wizards at your command. You are given a 0-indexed integer array strength , where strength[i] denotes the strength of the i th wizard. For a contiguous group of wizards (i.e. the wizards' strengths form a subarray of strength ), the total strength is defined as the product of the following two values: The strength of the weakest wizard in the group. The total of all the individual strengths of the wizards in the group. Return the sum of the total strengths of all contiguous groups of wizards . Since the answer may be very large, return it modulo 10 9 + 7 . A subarray is a contiguous non-empty sequence of elements within an array. Example 1: Input: strength = [1,3,1,2] Output: 44 Explanation: The following are all the contiguous groups of wizards: - [1] from [ 1 ,3,1,2] has a total strength of min([1]) * sum([1]) = 1 * 1 = 1 - [3] from [1, 3 ,1,2] has a total strength of min([3]) * sum([3]) = 3 * 3 = 9 - [1] from [1,3, 1 ,2] has a total strength of min([1]) * sum([1]) = 1 * 1 = 1 - [2] from [1,3,1, 2 ] has a total strength of min([2]) * sum([2]) = 2 * 2 = 4 - [1,3] from [ 1,3 ,1,2] has a total strength of min([1,3]) * sum([1,3]) = 1 * 4 = 4 - [3,1] from [1, 3,1 ,2] has a total strength of min([3,1]) * sum([3,1]) = 1 * 4 = 4 - [1,2] from [1,3, 1,2 ] has a total strength of min([1,2]) * sum([1,2]) = 1 * 3 = 3 - [1,3,1] from [ 1,3,1 ,2] has a total strength of min([1,3,1]) * sum([1,3,1]) = 1 * 5 = 5 - [3,1,2] from [1, 3,1,2 ] has a total strength of min([3,1,2]) * sum([3,1,2]) = 1 * 6 = 6 - [1,3,1,2] from [ 1,3,1,2 ] has a total strength of min([1,3,1,2]) * sum([1,3,1,2]) = 1 * 7 = 7 The sum of all the total strengths is 1 + 9 + 1 + 4 + 4 + 4 + 3 + 5 + 6 + 7 = 44. Example 2: Input: strength = [5,4,6] Output: 213 Explanation: The following are all the contiguous groups of wizards: - [5] from [ 5 ,4,6] has a total strength of min([5]) * sum([5]) = 5 * 5 = 25 - [4] from [5, 4 ,6] has a total strength of min([4]) * sum([4]) = 4 * 4 = 16 - [6] from [5,4, 6 ] has a total strength of min([6]) * sum([6]) = 6 * 6 = 36 - [5,4] from [ 5,4 ,6] has a total strength of min([5,4]) * sum([5,4]) = 4 * 9 = 36 - [4,6] from [5, 4,6 ] has a total strength of min([4,6]) * sum([4,6]) = 4 * 10 = 40 - [5,4,6] from [ 5,4,6 ] has a total strength of min([5,4,6]) * sum([5,4,6]) = 4 * 15 = 60 The sum of all the total strengths is 25 + 16 + 36 + 36 + 40 + 60 = 213. Constraints: 1 <= strength.length <= 10 5 1 <= strength[i] <= 10 9",https://leetcode.ca/2022-02-27-2281-Sum-of-Total-Strength-of-Wizards
2282,Number of People That Can Be Seen in a Grid,"You are given an m x n 0-indexed 2D array of positive integers heights where heights[i][j] is the height of the person standing at position (i, j) . A person standing at position (row 1 , col 1 ) can see a person standing at position (row 2 , col 2 ) if: The person at (row 2 , col 2 ) is to the right or below the person at (row 1 , col 1 ) . More formally, this means that either row 1 == row 2 and col 1 < col 2 or row 1 < row 2 and col 1 == col 2 . Everyone in between them is shorter than both of them. Return an m x n 2D array of integers answer where answer[i][j] is the number of people that the person at position (i, j) can see. Example 1: Input: heights = [[3,1,4,2,5]] Output: [[2,1,2,1,0]] Explanation: - The person at (0, 0) can see the people at (0, 1) and (0, 2). Note that he cannot see the person at (0, 4) because the person at (0, 2) is taller than him. - The person at (0, 1) can see the person at (0, 2). - The person at (0, 2) can see the people at (0, 3) and (0, 4). - The person at (0, 3) can see the person at (0, 4). - The person at (0, 4) cannot see anybody. Example 2: Input: heights = [[5,1],[3,1],[4,1]] Output: [[3,1],[2,1],[1,0]] Explanation: - The person at (0, 0) can see the people at (0, 1), (1, 0) and (2, 0). - The person at (0, 1) can see the person at (1, 1). - The person at (1, 0) can see the people at (1, 1) and (2, 0). - The person at (1, 1) can see the person at (2, 1). - The person at (2, 0) can see the person at (2, 1). - The person at (2, 1) cannot see anybody. Constraints: 1 <= heights.length <= 400 1 <= heights[i].length <= 400 1 <= heights[i][j] <= 10 5",https://leetcode.ca/2022-02-28-2282-Number-of-People-That-Can-Be-Seen-in-a-Grid
2283,Check if Number Has Equal Digit Count and Digit Value,"You are given a 0-indexed string num of length n consisting of digits. Return true if for every index i in the range 0 <= i < n , the digit i occurs num[i] times in num , otherwise return false . Example 1: Input: num = ""1210"" Output: true Explanation: num[0] = '1'. The digit 0 occurs once in num. num[1] = '2'. The digit 1 occurs twice in num. num[2] = '1'. The digit 2 occurs once in num. num[3] = '0'. The digit 3 occurs zero times in num. The condition holds true for every index in ""1210"", so return true. Example 2: Input: num = ""030"" Output: false Explanation: num[0] = '0'. The digit 0 should occur zero times, but actually occurs twice in num. num[1] = '3'. The digit 1 should occur three times, but actually occurs zero times in num. num[2] = '0'. The digit 2 occurs zero times in num. The indices 0 and 1 both violate the condition, so return false. Constraints: n == num.length 1 <= n <= 10 num consists of digits.",https://leetcode.ca/2022-03-01-2283-Check-if-Number-Has-Equal-Digit-Count-and-Digit-Value
2284,Sender With Largest Word Count,"You have a chat log of n messages. You are given two string arrays messages and senders where messages[i] is a message sent by senders[i] . A message is list of words that are separated by a single space with no leading or trailing spaces. The word count of a sender is the total number of words sent by the sender. Note that a sender may send more than one message. Return the sender with the largest word count . If there is more than one sender with the largest word count, return the one with the lexicographically largest name . Note: Uppercase letters come before lowercase letters in lexicographical order. ""Alice"" and ""alice"" are distinct. Example 1: Input: messages = [""Hello userTwooo"",""Hi userThree"",""Wonderful day Alice"",""Nice day userThree""], senders = [""Alice"",""userTwo"",""userThree"",""Alice""] Output: ""Alice"" Explanation: Alice sends a total of 2 + 3 = 5 words. userTwo sends a total of 2 words. userThree sends a total of 3 words. Since Alice has the largest word count, we return ""Alice"". Example 2: Input: messages = [""How is leetcode for everyone"",""Leetcode is useful for practice""], senders = [""Bob"",""Charlie""] Output: ""Charlie"" Explanation: Bob sends a total of 5 words. Charlie sends a total of 5 words. Since there is a tie for the largest word count, we return the sender with the lexicographically larger name, Charlie. Constraints: n == messages.length == senders.length 1 <= n <= 10 4 1 <= messages[i].length <= 100 1 <= senders[i].length <= 10 messages[i] consists of uppercase and lowercase English letters and ' ' . All the words in messages[i] are separated by a single space . messages[i] does not have leading or trailing spaces. senders[i] consists of uppercase and lowercase English letters only.",https://leetcode.ca/2022-03-02-2284-Sender-With-Largest-Word-Count
2285,Maximum Total Importance of Roads,"You are given an integer n denoting the number of cities in a country. The cities are numbered from 0 to n - 1 . You are also given a 2D integer array roads where roads[i] = [a i , b i ] denotes that there exists a bidirectional road connecting cities a i and b i . You need to assign each city with an integer value from 1 to n , where each value can only be used once . The importance of a road is then defined as the sum of the values of the two cities it connects. Return the maximum total importance of all roads possible after assigning the values optimally. Example 1: Input: n = 5, roads = [[0,1],[1,2],[2,3],[0,2],[1,3],[2,4]] Output: 43 Explanation: The figure above shows the country and the assigned values of [2,4,5,3,1]. - The road (0,1) has an importance of 2 + 4 = 6. - The road (1,2) has an importance of 4 + 5 = 9. - The road (2,3) has an importance of 5 + 3 = 8. - The road (0,2) has an importance of 2 + 5 = 7. - The road (1,3) has an importance of 4 + 3 = 7. - The road (2,4) has an importance of 5 + 1 = 6. The total importance of all roads is 6 + 9 + 8 + 7 + 7 + 6 = 43. It can be shown that we cannot obtain a greater total importance than 43. Example 2: Input: n = 5, roads = [[0,3],[2,4],[1,3]] Output: 20 Explanation: The figure above shows the country and the assigned values of [4,3,2,5,1]. - The road (0,3) has an importance of 4 + 5 = 9. - The road (2,4) has an importance of 2 + 1 = 3. - The road (1,3) has an importance of 3 + 5 = 8. The total importance of all roads is 9 + 3 + 8 = 20. It can be shown that we cannot obtain a greater total importance than 20. Constraints: 2 <= n <= 5 * 10 4 1 <= roads.length <= 5 * 10 4 roads[i].length == 2 0 <= a i , b i <= n - 1 a i != b i There are no duplicate roads.",https://leetcode.ca/2022-03-03-2285-Maximum-Total-Importance-of-Roads
2286,Booking Concert Tickets in Groups,"A concert hall has n rows numbered from 0 to n - 1 , each with m seats, numbered from 0 to m - 1 . You need to design a ticketing system that can allocate seats in the following cases: If a group of k spectators can sit together in a row. If every member of a group of k spectators can get a seat. They may or may not sit together. Note that the spectators are very picky. Hence: They will book seats only if each member of their group can get a seat with row number less than or equal to maxRow . maxRow can vary from group to group. In case there are multiple rows to choose from, the row with the smallest number is chosen. If there are multiple seats to choose in the same row, the seat with the smallest number is chosen. Implement the BookMyShow class: BookMyShow(int n, int m) Initializes the object with n as number of rows and m as number of seats per row. int[] gather(int k, int maxRow) Returns an array of length 2 denoting the row and seat number (respectively) of the first seat being allocated to the k members of the group, who must sit together . In other words, it returns the smallest possible r and c such that all [c, c + k - 1] seats are valid and empty in row r , and r <= maxRow . Returns [] in case it is not possible to allocate seats to the group. boolean scatter(int k, int maxRow) Returns true if all k members of the group can be allocated seats in rows 0 to maxRow , who may or may not sit together. If the seats can be allocated, it allocates k seats to the group with the smallest row numbers, and the smallest possible seat numbers in each row. Otherwise, returns false . Example 1: Input [""BookMyShow"", ""gather"", ""gather"", ""scatter"", ""scatter""] [[2, 5], [4, 0], [2, 0], [5, 1], [5, 1]] Output [null, [0, 0], [], true, false] Explanation BookMyShow bms = new BookMyShow(2, 5); // There are 2 rows with 5 seats each bms.gather(4, 0); // return [0, 0] // The group books seats [0, 3] of row 0. bms.gather(2, 0); // return [] // There is only 1 seat left in row 0, // so it is not possible to book 2 consecutive seats. bms.scatter(5, 1); // return True // The group books seat 4 of row 0 and seats [0, 3] of row 1. bms.scatter(5, 1); // return False // There is only one seat left in the hall. Constraints: 1 <= n <= 5 * 10 4 1 <= m, k <= 10 9 0 <= maxRow <= n - 1 At most 5 * 10 4 calls in total will be made to gather and scatter .",https://leetcode.ca/2022-03-04-2286-Booking-Concert-Tickets-in-Groups
2287,Rearrange Characters to Make Target String,"You are given two 0-indexed strings s and target . You can take some letters from s and rearrange them to form new strings. Return the maximum number of copies of target that can be formed by taking letters from s and rearranging them. Example 1: Input: s = ""ilovecodingonleetcode"", target = ""code"" Output: 2 Explanation: For the first copy of ""code"", take the letters at indices 4, 5, 6, and 7. For the second copy of ""code"", take the letters at indices 17, 18, 19, and 20. The strings that are formed are ""ecod"" and ""code"" which can both be rearranged into ""code"". We can make at most two copies of ""code"", so we return 2. Example 2: Input: s = ""abcba"", target = ""abc"" Output: 1 Explanation: We can make one copy of ""abc"" by taking the letters at indices 0, 1, and 2. We can make at most one copy of ""abc"", so we return 1. Note that while there is an extra 'a' and 'b' at indices 3 and 4, we cannot reuse the letter 'c' at index 2, so we cannot make a second copy of ""abc"". Example 3: Input: s = ""abbaccaddaeea"", target = ""aaaaa"" Output: 1 Explanation: We can make one copy of ""aaaaa"" by taking the letters at indices 0, 3, 6, 9, and 12. We can make at most one copy of ""aaaaa"", so we return 1. Constraints: 1 <= s.length <= 100 1 <= target.length <= 10 s and target consist of lowercase English letters.",https://leetcode.ca/2022-03-05-2287-Rearrange-Characters-to-Make-Target-String
2288,Apply Discount to Prices,"A sentence is a string of single-space separated words where each word can contain digits, lowercase letters, and the dollar sign '' . A word represents a price if it is a sequence of digits preceded by a dollar sign. For example, ""100"" , ""23"" , and ""6"" represent prices while ""100"" , """" , and ""1e5"" do not. You are given a string sentence representing a sentence and an integer discount . For each word representing a price, apply a discount of discount% on the price and update the word in the sentence. All updated prices should be represented with exactly two decimal places. Return a string representing the modified sentence . Note that all prices will contain at most 10 digits. Example 1: Input: sentence = ""there are 1 2 and 5 candies in the shop"", discount = 50 Output: ""there are 0.50 1.00 and 5 candies in the shop"" Explanation: The words which represent prices are ""1"" and ""2"". - A 50% discount on ""1"" yields ""0.50"", so ""1"" is replaced by ""0.50"". - A 50% discount on ""2"" yields ""1"". Since we need to have exactly 2 decimal places after a price, we replace ""2"" with ""1.00"". Example 2: Input: sentence = ""1 2 3 4 5 6 7 8 9 10"", discount = 100 Output: ""1 2 0.00 4 0.00 0.00 7 8 0.00 10"" Explanation: Applying a 100% discount on any price will result in 0. The words representing prices are ""3"", ""5"", ""6"", and ""9"". Each of them is replaced by ""0.00"". Constraints: 1 <= sentence.length <= 10 5 sentence consists of lowercase English letters, digits, ' ' , and '' . sentence does not have leading or trailing spaces. All words in sentence are separated by a single space. All prices will be positive numbers without leading zeros. All prices will have at most 10 digits. 0 <= discount <= 100",https://leetcode.ca/2022-03-06-2288-Apply-Discount-to-Prices
2289,Steps to Make Array Non-decreasing,"You are given a 0-indexed integer array nums . In one step, remove all elements nums[i] where nums[i - 1] > nums[i] for all 0 < i < nums.length . Return the number of steps performed until nums becomes a non-decreasing array . Example 1: Input: nums = [5,3,4,4,7,3,6,11,8,5,11] Output: 3 Explanation: The following are the steps performed: - Step 1: [5, 3 ,4,4,7, 3 ,6,11, 8 , 5 ,11] becomes [5,4,4,7,6,11,11] - Step 2: [5, 4 ,4,7, 6 ,11,11] becomes [5,4,7,11,11] - Step 3: [5, 4 ,7,11,11] becomes [5,7,11,11] [5,7,11,11] is a non-decreasing array. Therefore, we return 3. Example 2: Input: nums = [4,5,7,7,13] Output: 0 Explanation: nums is already a non-decreasing array. Therefore, we return 0. Constraints: 1 <= nums.length <= 10 5 1 <= nums[i] <= 10 9",https://leetcode.ca/2022-03-07-2289-Steps-to-Make-Array-Non-decreasing
2290,Minimum Obstacle Removal to Reach Corner,"You are given a 0-indexed 2D integer array grid of size m x n . Each cell has one of two values: 0 represents an empty cell, 1 represents an obstacle that may be removed. You can move up, down, left, or right from and to an empty cell. Return the minimum number of obstacles to remove so you can move from the upper left corner (0, 0) to the lower right corner (m - 1, n - 1) . Example 1: Input: grid = [[0,1,1],[1,1,0],[1,1,0]] Output: 2 Explanation: We can remove the obstacles at (0, 1) and (0, 2) to create a path from (0, 0) to (2, 2). It can be shown that we need to remove at least 2 obstacles, so we return 2. Note that there may be other ways to remove 2 obstacles to create a path. Example 2: Input: grid = [[0,1,0,0,0],[0,1,0,1,0],[0,0,0,1,0]] Output: 0 Explanation: We can move from (0, 0) to (2, 4) without removing any obstacles, so we return 0. Constraints: m == grid.length n == grid[i].length 1 <= m, n <= 10 5 2 <= m * n <= 10 5 grid[i][j] is either 0 or 1 . grid[0][0] == grid[m - 1][n - 1] == 0",https://leetcode.ca/2022-03-08-2290-Minimum-Obstacle-Removal-to-Reach-Corner
2291,Maximum Profit From Trading Stocks,"You are given two 0-indexed integer arrays of the same length present and future where present[i] is the current price of the i th stock and future[i] is the price of the i th stock a year in the future. You may buy each stock at most once . You are also given an integer budget representing the amount of money you currently have. Return the maximum amount of profit you can make. Example 1: Input: present = [5,4,6,2,3], future = [8,5,4,3,5], budget = 10 Output: 6 Explanation: One possible way to maximize your profit is to: Buy the 0 th , 3 rd , and 4 th stocks for a total of 5 + 2 + 3 = 10. Next year, sell all three stocks for a total of 8 + 3 + 5 = 16. The profit you made is 16 - 10 = 6. It can be shown that the maximum profit you can make is 6. Example 2: Input: present = [2,2,5], future = [3,4,10], budget = 6 Output: 5 Explanation: The only possible way to maximize your profit is to: Buy the 2 nd stock, and make a profit of 10 - 5 = 5. It can be shown that the maximum profit you can make is 5. Example 3: Input: present = [3,3,12], future = [0,3,15], budget = 10 Output: 0 Explanation: One possible way to maximize your profit is to: Buy the 1 st stock, and make a profit of 3 - 3 = 0. It can be shown that the maximum profit you can make is 0. Constraints: n == present.length == future.length 1 <= n <= 1000 0 <= present[i], future[i] <= 100 0 <= budget <= 1000",https://leetcode.ca/2022-03-09-2291-Maximum-Profit-From-Trading-Stocks
2292,Products With Three or More Orders in Two Consecutive Years,"Table: Orders +---------------+------+ | Column Name | Type | +---------------+------+ | order_id | int | | product_id | int | | quantity | int | | purchase_date | date | +---------------+------+ order_id contains unique values. Each row in this table contains the ID of an order, the id of the product purchased, the quantity, and the purchase date. Write a solution to report the IDs of all the products that were ordered three or more times in two consecutive years. Return the result table in any order . The result format is shown in the following example. Example 1: Input: Orders table: +----------+------------+----------+---------------+ | order_id | product_id | quantity | purchase_date | +----------+------------+----------+---------------+ | 1 | 1 | 7 | 2020-03-16 | | 2 | 1 | 4 | 2020-12-02 | | 3 | 1 | 7 | 2020-05-10 | | 4 | 1 | 6 | 2021-12-23 | | 5 | 1 | 5 | 2021-05-21 | | 6 | 1 | 6 | 2021-10-11 | | 7 | 2 | 6 | 2022-10-11 | +----------+------------+----------+---------------+ Output: +------------+ | product_id | +------------+ | 1 | +------------+ Explanation: Product 1 was ordered in 2020 three times and in 2021 three times. Since it was ordered three times in two consecutive years, we include it in the answer. Product 2 was ordered one time in 2022. We do not include it in the answer.",https://leetcode.ca/2022-03-10-2292-Products-With-Three-or-More-Orders-in-Two-Consecutive-Years
2293,Min Max Game,"You are given a 0-indexed integer array nums whose length is a power of 2 . Apply the following algorithm on nums : Let n be the length of nums . If n == 1 , end the process. Otherwise, create a new 0-indexed integer array newNums of length n / 2 . For every even index i where 0 <= i < n / 2 , assign the value of newNums[i] as min(nums[2 * i], nums[2 * i + 1]) . For every odd index i where 0 <= i < n / 2 , assign the value of newNums[i] as max(nums[2 * i], nums[2 * i + 1]) . Replace the array nums with newNums . Repeat the entire process starting from step 1. Return the last number that remains in nums after applying the algorithm. Example 1: Input: nums = [1,3,5,2,4,8,2,2] Output: 1 Explanation: The following arrays are the results of applying the algorithm repeatedly. First: nums = [1,5,4,2] Second: nums = [1,4] Third: nums = [1] 1 is the last remaining number, so we return 1. Example 2: Input: nums = [3] Output: 3 Explanation: 3 is already the last remaining number, so we return 3. Constraints: 1 <= nums.length <= 1024 1 <= nums[i] <= 10 9 nums.length is a power of 2 .",https://leetcode.ca/2022-03-11-2293-Min-Max-Game
2294,Partition Array Such That Maximum Difference Is K,"You are given an integer array nums and an integer k . You may partition nums into one or more subsequences such that each element in nums appears in exactly one of the subsequences. Return the minimum number of subsequences needed such that the difference between the maximum and minimum values in each subsequence is at most k . A subsequence is a sequence that can be derived from another sequence by deleting some or no elements without changing the order of the remaining elements. Example 1: Input: nums = [3,6,1,2,5], k = 2 Output: 2 Explanation: We can partition nums into the two subsequences [3,1,2] and [6,5]. The difference between the maximum and minimum value in the first subsequence is 3 - 1 = 2. The difference between the maximum and minimum value in the second subsequence is 6 - 5 = 1. Since two subsequences were created, we return 2. It can be shown that 2 is the minimum number of subsequences needed. Example 2: Input: nums = [1,2,3], k = 1 Output: 2 Explanation: We can partition nums into the two subsequences [1,2] and [3]. The difference between the maximum and minimum value in the first subsequence is 2 - 1 = 1. The difference between the maximum and minimum value in the second subsequence is 3 - 3 = 0. Since two subsequences were created, we return 2. Note that another optimal solution is to partition nums into the two subsequences [1] and [2,3]. Example 3: Input: nums = [2,2,4,5], k = 0 Output: 3 Explanation: We can partition nums into the three subsequences [2,2], [4], and [5]. The difference between the maximum and minimum value in the first subsequences is 2 - 2 = 0. The difference between the maximum and minimum value in the second subsequences is 4 - 4 = 0. The difference between the maximum and minimum value in the third subsequences is 5 - 5 = 0. Since three subsequences were created, we return 3. It can be shown that 3 is the minimum number of subsequences needed. Constraints: 1 <= nums.length <= 10 5 0 <= nums[i] <= 10 5 0 <= k <= 10 5",https://leetcode.ca/2022-03-12-2294-Partition-Array-Such-That-Maximum-Difference-Is-K
